,orderType,bzpNumber,isTenderAmountBelowEU,orderObject,cpvCode,htmlBody,contractors
11,Works,2023/BZP 00000065,True,Budowa świetlicy wiejskiej w miejscowości Krasne,"45000000-7 (Roboty budowlane),45100000-8 (Przygotowanie terenu pod budowę),45200000-9 (Roboty budowlane w zakresie wznoszenia kompletnych obiektów budowlanych lub ich części oraz roboty w zakresie inżynierii lądowej i wodnej),45400000-1 (Roboty wykończeniowe w zakresie obiektów budowlanych),45300000-0 (Roboty instalacyjne w budynkach),45330000-9 (Roboty instalacyjne wodno-kanalizacyjne i sanitarne),45310000-3 (Roboty instalacyjne elektryczne),45212300-9 (Roboty budowlane w zakresie budowy artystycznych i kulturalnych obiektów budowlanych),45111291-4 (Roboty w zakresie zagospodarowania terenu)","{'6.2.)': 612566.36, '6.3.)': 945335.71, '6.4.)': 612566.36, '8.2.)': 612566.36}",1
12,Services,2023/BZP 00000070,True,"Świadczenie usług pocztowych  w obrocie krajowym na rzecz Powiatowego Urzędu Pracy w Oświęcimiu w zakresie przyjmowania, przemieszczania i doręczenia przesyłek pocztowych oraz ich zwrotów.",64110000-0 (Usługi pocztowe),"{'4.3.)': 177687.9, '6.2.)': 184946.5, '6.3.)': 184946.5, '6.4.)': 184946.5, '8.2.)': 184946.5}",1
13,Services,2023/BZP 00000083,True,"Posyłki kominiarskie, sprawdzenie stanu technicznego pieców oraz sprawdzenia instalacji grzewczej w zasobie Gminy Siemianowice Śląskie",71700000-5 (Usługi nadzoru i kontroli),{},1
14,Services,2023/BZP 00000085,True,",,Codzienny dowóz dzieci do szkół na terenie gminy Drawno oraz do SOSz-W w Suliszewie w  okresie od 02.01.2023 r. do 22.12.2023 r.""",60100000-9 (Usługi w zakresie transportu drogowego),"{'6.2.)': 536699.3, '6.3.)': 536699.3, '6.4.)': 536699.3, '8.2.)': 536699.3}",1
17,Delivery,2023/BZP 00000105,True,Dostawy surowców farmaceutycznych.,33600000-6 (Produkty farmaceutyczne),"{'6.2.)': 573180.0, '6.3.)': 839378.56, '6.4.)': 573180.0, '8.2.)': 573180.0}",1
18,Services,2023/BZP 00000114,True,Konserwacja i utrzymanie urządzeń oświetlenia zewnętrznego miasta Wejherowa w 2023 r.,"50232100-1 (Usługi w zakresie konserwacji oświetlenia ulicznego),45316110-9 (Instalowanie urządzeń oświetlenia drogowego)","{'6.2.)': 249886.8, '6.3.)': 249886.8, '6.4.)': 249886.8, '8.2.)': 249886.8}",1
19,Services,2023/BZP 00000116,True,Usługa ochrony zagospodarowanych terenów,79710000-4 (Usługi ochroniarskie),"{'4.3.1)': 60000.0, '6.2.)': 77490.0, '6.3.)': 77490.0, '6.4.)': 77490.0, '8.2.)': 77490.0}",1
20,Services,2023/BZP 00000117,True,Świadczenie usług kompleksowego utrzymania czystości w zasobach mieszkaniowych i na zewn. terenach przyległych oraz pielęgnacji zieleni i wykonywania usług pomocniczych w zasobach własnych BBTBS.,"90911200-8 (Usługi sprzątania budynków),77311000-3 (Usługi utrzymania ogródków ozdobnych),77312000-0 (Usługi usuwania chwastów),77314100-5 (Usługi w zakresie trawników),77342000-9 (Przycinanie żywopłotów),90610000-6 (Usługi sprzątania i zamiatania ulic),50870000-4 (Usługi w zakresie napraw i konserwacji wyposażenia placów zabaw),90620000-9 (Usługi odśnieżania),90630000-2 (Usługi usuwania oblodzeń),90911300-9 (Usługi czyszczenia okien),90914000-7 (Usługi sprzątania parkingów),90921000-9 (Usługi dezynfekcji i dezynsekcji budynków),98000000-3 (Inne usługi komunalne, socjalne i osobiste)","{'4.3.)': 267060.0, '6.2.)': 300403.8, '6.3.)': 300403.8, '6.4.)': 300403.8, '8.2.)': 300403.8}",1
21,Services,2023/BZP 00000118,True,"DOWÓZ UCZNIÓW Z TERENU GMINY STARY SĄCZ DO SZKÓŁ
W ROKU SZKOLNYM 2022/2023 w okresie od  stycznia do czerwca 2023",60100000-9 (Usługi w zakresie transportu drogowego),"{'4.3.1)': 162280.0, '4.5.5.)': 1750.0, '6.2.)': 26218.08, '6.3.)': 26218.08, '6.4.)': 26218.08, '8.2.)': 26218.08}",4
22,Services,2023/BZP 00000122,True,"Kompleksowe ubezpieczenie mienia, odpowiedzialności cywilnej, ubezpieczenia komunikacyjne oraz ubezpieczenia następstw nieszczęśliwych wypadków Gminy i Miasta Krajenka",66510000-8 (Usługi ubezpieczeniowe),"{'4.3.)': 283742.65, '4.5.5.)': 11396.8, '6.2.)': 18773.1, '6.3.)': 58071.0, '6.4.)': 18773.1, '8.2.)': 18773.1}",2
23,Delivery,2023/BZP 00000127,True,Dostawa systemu konsolet radiowych i systemu oprogramowania radiowego wraz z niezbędnym sprzętem dla Akademickiego Radia Centrum UMCS w Lublinie,"32000000-3 (Sprzęt radiowy, telewizyjny, komunikacyjny, telekomunikacyjny i podobny),32342420-2 (Studyjne konsole mikserskie),32344250-3 (Instalacje radiowe),30213000-5 (Komputery osobiste),30236000-2 (Różny sprzęt komputerowy),32420000-3 (Urządzenia sieciowe),48000000-8 (Pakiety oprogramowania i systemy informatyczne),48820000-2 (Serwery)","{'6.2.)': 491016.0, '6.3.)': 500072.39, '6.4.)': 500072.39, '8.2.)': 500072.39}",1
24,Services,2023/BZP 00000146,True,UBEZPIECZENIE MAJĄTKU I INNYCH INTERESÓW GMINY MIEJSKIEJ OSTRÓDA,"66510000-8 (Usługi ubezpieczeniowe),66515100-4 (Usługi ubezpieczenia od ognia),66515400-7 (Usługi ubezpieczenia od skutków żywiołów),66515000-3 (Usługi ubezpieczenia od uszkodzenia lub utraty),66516400-4 (Usługi ubezpieczenia od ogólnej odpowiedzialności cywilnej),66516000-0 (Usługi ubezpieczenia od odpowiedzialności cywilnej),66516100-1 (Usługi ubezpieczenia pojazdów mechanicznych od odpowiedzialności cywilnej),66514110-0 (Usługi ubezpieczeń pojazdów mechanicznych),66512100-3 (Usługi ubezpieczenia od następstw nieszczęśliwych wypadków)","{'4.3.)': 668728.53, '4.5.5.)': 30000.0, '6.2.)': 27200.0, '6.3.)': 27200.0, '6.4.)': 27200.0, '8.2.)': 27200.0}",6
25,Services,2023/BZP 00000148,True,Dozór i ochrona obiektów Sądu Rejonowego w Sosnowcu,79710000-4 (Usługi ochroniarskie),"{'4.3.)': 615165.86, '6.2.)': 698528.08, '6.3.)': 801396.73, '6.4.)': 698528.08, '8.2.)': 698528.08}",1
26,Services,2023/BZP 00000153,True,Dowóz  uczniów z Zarzecza do Szkoły Podstawowej w Lutoryżu oraz dowóz uczniów  niepełnosprawnych z terenu Gminy Boguchwała do ZSS UNICEF w Rzeszowie  i do Krainy Uśmiechu w Rzeszowie,60130000-8 (Usługi w zakresie specjalistycznego transportu drogowego osób),"{'6.2.)': 232767.0, '6.3.)': 232767.0, '6.4.)': 232767.0, '8.2.)': 232767.0}",1
27,Delivery,2023/BZP 00000156,True,Dostawa paliw w 2023r. (ozn. PZD 261.30.2022.IKP),"09134100-8 (Olej napędowy),09132100-4 (Benzyna bezołowiowa)","{'4.3.)': 890700.0, '4.5.5.)': 30300.0, '6.2.)': 32150.0, '6.3.)': 32450.0, '6.4.)': 32150.0, '8.2.)': 32150.0}",2
28,Delivery,2023/BZP 00000158,True,"Sukcesywna dostawa artykułów spożywczych (ryb i przetworów rybnych) 
dla statku Nawigator XXI",15200000-0 (Ryby przetworzone i konserwowane),"{'4.3.1)': 43518.52, '6.2.)': 58849.48, '6.3.)': 58849.48, '6.4.)': 58849.48, '8.2.)': 58849.48}",1
29,Delivery,2023/BZP 00000163,True,"DOSTAWA SPRZĘTU KOMPUTEROWEGO, OPROGRAMOWANIA I AKCESORIÓW KOMPUTEROWYCH","30200000-1 (Urządzenia komputerowe),48000000-8 (Pakiety oprogramowania i systemy informatyczne)","{'4.3.1)': 211954.52, '4.5.5.)': 12455.69, '6.2.)': 13554.6, '6.3.)': 18296.25, '6.4.)': 13554.6, '8.2.)': 13554.6}",3
30,Services,2023/BZP 00000168,True,"Postępowanie na usługi pocztowe świadczone w obrocie krajowym 
i zagranicznym na rzecz Dolnośląskiego Wojewódzkiego Urzędu Pracy.","64110000-0 (Usługi pocztowe),64112000-4 (Usługi pocztowe dotyczące listów),64113000-1 (Usługi pocztowe dotyczące paczek),60000000-8 (Usługi transportowe (z wyłączeniem transportu odpadów))","{'4.3.)': 169586.53, '6.2.)': 278143.3, '6.3.)': 278143.3, '6.4.)': 278143.3, '8.2.)': 278143.3}",1
31,Delivery,2023/BZP 00000173,True,Zakup wyposażenia i sprzętu ratownictwa dla OSP w Dębem Wielkim,"34144210-3 (Wozy strażackie),34114000-9 (Pojazdy specjalne),34100000-8 (Pojazdy silnikowe),35110000-8 (Sprzęt gaśniczy, ratowniczy i bezpieczeństwa)","{'6.2.)': 303000.0, '6.3.)': 390000.0, '6.4.)': 303000.0, '8.2.)': 303000.0}",1
33,Services,2023/BZP 00000183,True,"„Usługa transportowa w zakresie przewozów do szkół i przedszkoli prowadzonych przez Gminę Gniew w ramach, której dzieci otrzymają bilety miesięczne w okresie od 01.01.2023-31.12.2023”","60130000-8 (Usługi w zakresie specjalistycznego transportu drogowego osób),60100000-9 (Usługi w zakresie transportu drogowego)",{},1
34,Services,2023/BZP 00000184,True,"Utrzymanie czystości wewnątrz i na zewnątrz obiektów ZDMiKP 
w 2023 r.","90919200-4 (Usługi sprzątania biur),90911300-9 (Usługi czyszczenia okien),90911200-8 (Usługi sprzątania budynków)","{'4.3.)': 192000.0, '6.2.)': 190335.0, '6.3.)': 279256.22, '6.4.)': 190335.0, '8.2.)': 190335.0}",1
35,Services,2023/BZP 00000186,True,Świadczenie usług ochrony fizycznej i dozoru w budynkach należących do Sądu Rejonowego w Wałczu.,79710000-4 (Usługi ochroniarskie),"{'6.2.)': 207818.88, '6.3.)': 207818.88, '6.4.)': 207818.88, '8.2.)': 207818.88}",1
36,Services,2023/BZP 00000191,True,Świadczenie Serwisu Eksploatacyjnego (SE) systemu informatycznego w Wojewódzkim Szpitalu Specjalistycznym Nr 2 w Jastrzębiu – Zdroju,50312300-8 (Konserwacja i naprawa sieciowego sprzętu do przetwarzania danych),"{'6.2.)': 1009584.0, '6.3.)': 1009584.0, '6.4.)': 1009584.0, '8.2.)': 1009584.0}",1
37,Services,2023/BZP 00000206,True,Świadczenie usługi wsparcia serwisowego wraz z  asystą techniczną na posiadany Systemu Ochrony przed wyciekami informacji – tzw. DLP,48422000-2 (Zestawy pakietów oprogramowania),"{'4.3.)': 157317.0, '6.2.)': 192737.31, '6.3.)': 192737.31, '6.4.)': 192737.31, '8.2.)': 192737.31}",1
38,Delivery,2023/BZP 00000208,True,"Dostawa sprzętu komputerowego wraz z oprogramowaniem w ramach projektu grantowego ""Wsparcie dzieci z rodzin pegeerowskich w rozwoju cyfrowym - Granty PPGR""","30213000-5 (Komputery osobiste),30213100-6 (Komputery przenośne),30213200-7 (Komputer tablet)","{'4.3.)': 12195.12, '6.2.)': 14901.62, '6.3.)': 25468.38, '6.4.)': 14901.62, '8.2.)': 14901.62}",1
39,Works,2023/BZP 00000212,True,Budowa ulicy Okrężnej jako element poprawy spójności układu drogowego łączącego popegeerowską miejscowość Książenice z centrum Grodziska Mazowieckiego,"45233120-6 (Roboty w zakresie budowy dróg),45232410-9 (Roboty w zakresie kanalizacji ściekowej),45111200-0 (Roboty w zakresie przygotowania terenu pod budowę i roboty ziemne),45111300-1 (Roboty rozbiórkowe),45232000-2 (Roboty pomocnicze w zakresie rurociągów i kabli),45111000-8 (Roboty w zakresie burzenia, roboty ziemne),45233000-9 (Roboty w zakresie konstruowania, fundamentowania oraz wykonywania nawierzchni autostrad, dróg),45233221-4 (Malowanie nawierzchi),45232310-8 (Roboty budowlane w zakresie linii telefonicznych),45316110-9 (Instalowanie urządzeń oświetlenia drogowego),45231400-9 (Roboty budowlane w zakresie budowy linii energetycznych),45000000-7 (Roboty budowlane),45231300-8 (Roboty budowlane w zakresie budowy wodociągów i rurociągów do odprowadzania ścieków)","{'4.3.)': 4949700.6, '6.2.)': 3908905.7, '6.3.)': 5805618.52, '6.4.)': 3908905.7, '8.2.)': 3908905.7}",1
40,Works,2023/BZP 00000219,True,BIEŻĄCE UTRZYMANIE OZNAKOWANIA DROGOWEGO PIONOWEGO I POZIOMEGO ORAZ ELEMENTÓW BEZPIECZEŃSTWA RUCHU DROGOWEGO NA DROGACH GMINNYCH W 2023 ROKU,"45233141-9 (Roboty w zakresie konserwacji dróg),45233280-5 (Wznoszenie barier drogowych),45233290-8 (Instalowanie znaków drogowych)","{'4.3.)': 553632.0, '6.2.)': 530173.05, '6.3.)': 530173.05, '6.4.)': 530173.05, '8.2.)': 530173.05}",1
41,Services,2023/BZP 00000233,True,Odbiór i zagospodarowanie odpadów komunalnych z nieruchomości zamieszkałych i niezamieszkałych z terenu Gminy Ślemień wraz z dostawą worków do zbiórki odpadów w okresie od 1.01. 2023 do 31.12.2023r,"90500000-2 (Usługi związane z odpadami),18930000-7 (Worki i torby),90511000-2 (Usługi wywozu odpadów),90512000-9 (Usługi transportu odpadów),90513000-6 (Usługi obróbki i usuwania odpadów, które nie są niebezpieczne),90513100-7 (Usługi wywozu odpadów pochodzących z gospodarstw domowych)","{'4.3.)': 930650.4, '6.2.)': 1025179.2, '6.3.)': 1025179.2, '6.4.)': 1025179.2, '8.2.)': 1025179.2}",1
42,Delivery,2023/BZP 00000236,True,„Zakup i dostawa wyposażenia serwerowni wraz z oprogramowaniem” w ramach Programu Operacyjnego Polska Cyfrowa na lata 2014-2020 Osi Priorytetowej V Rozwój cyfrowy JST - III,"48821000-9 (Serwery sieciowe),48000000-8 (Pakiety oprogramowania i systemy informatyczne),35100000-5 (Urządzenia awaryjne i zabezpieczające),32420000-3 (Urządzenia sieciowe),30236000-2 (Różny sprzęt komputerowy)","{'4.3.)': 60975.61, '6.2.)': 61746.0, '6.3.)': 61746.0, '6.4.)': 61746.0, '8.2.)': 61746.0}",1
44,Services,2023/BZP 00000238,True,Odbiór i zagospodarowanie odpadów komunalnych od właścicieli nieruchomości zamieszkałych na terenie Gminy Horodło od 01.01.2023 r. do 31.12.2023 r.,"90500000-2 (Usługi związane z odpadami),90511000-2 (Usługi wywozu odpadów),90512000-9 (Usługi transportu odpadów),90513100-7 (Usługi wywozu odpadów pochodzących z gospodarstw domowych)","{'4.3.)': 546296.3, '6.2.)': 559589.04, '6.3.)': 633447.32, '6.4.)': 559589.04, '8.2.)': 559589.04}",1
45,Delivery,2023/BZP 00000239,True,„Zakup 3 mikrobusów do Środowiskowego Domu Samopomocy w Szczytnie oraz  Środowiskowego Domu Samopomocy w Szczytnie  Filia im. Jerzego Lanca w Piasutnie z przystosowaniem dla osób niepełnosprawnych”,"34110000-1 (Samochody osobowe),34114300-2 (Pojazdy opieki socjalnej),33196200-2 (Sprzęt dla osób niepełnosprawnych)","{'6.2.)': 233178.48, '6.3.)': 233178.48, '6.4.)': 233178.48, '8.2.)': 233178.48}",1
46,Delivery,2023/BZP 00000244,True,Dostawa paliw płynnych do pojazdów i urządzeń służbowych należących do Zarządu Dróg Powiatowych w Nisku,"09100000-0 (Paliwa),09134100-8 (Olej napędowy),09132100-4 (Benzyna bezołowiowa),09123000-7 (Gaz ziemny)","{'4.3.)': 28958.54, '6.2.)': 33440.0, '6.3.)': 33440.0, '6.4.)': 33440.0, '8.2.)': 33440.0}",1
47,Services,2023/BZP 00000250,True,"Odbiór i zagospodarowanie odpadów komunalnych powstałych i zebranych 
w budynkach i miejscach użyteczności publicznej na terenie Gminy Sędziszów Małopolski.","90533000-2 (Usługi gospodarki odpadami),90511000-2 (Usługi wywozu odpadów),90512000-9 (Usługi transportu odpadów),90500000-2 (Usługi związane z odpadami)","{'4.3.)': 169000.0, '6.2.)': 156725.0, '6.3.)': 156725.0, '6.4.)': 156725.0, '8.2.)': 156725.0}",1
48,Delivery,2023/BZP 00000252,True,Dostawa energii elektrycznej wraz z dystrybucją,"09300000-2 (Energia elektryczna, cieplna, słoneczna i jądrowa),65310000-9 (Przesył energii elektrycznej)","{'6.2.)': 838942.91, '6.3.)': 838942.91, '6.4.)': 838942.91, '8.2.)': 838942.91}",1
49,Services,2023/BZP 00000255,True,Wykonanie serwisu spektrometru masowego Triple Tof 5600+ dla Międzyuczelnianego Wydziału Biotechnologii UG i GUMed,50412000-6 (Usługi w zakresie napraw i konserwacji aparatury badawczej),{'8.2.)': 218886.98},1
50,Works,2023/BZP 00000260,True,BUDOWA OŚWIETLENIA DROGOWEGO W TECHNOLOGII LED NA TERENIE GMINY JABŁONNA,"45231400-9 (Roboty budowlane w zakresie budowy linii energetycznych),45311000-0 (Roboty w zakresie okablowania oraz instalacji elektrycznych),45316110-9 (Instalowanie urządzeń oświetlenia drogowego),45317000-2 (Inne instalacje elektryczne),45317300-5 (Elektryczne elektrycznych urządzeń rozdzielczych)","{'4.5.5.)': 30769.23, '6.2.)': 63483.33, '6.3.)': 70110.0, '6.4.)': 70110.0, '8.2.)': 70110.0}",7
51,Delivery,2023/BZP 00000269,True,Dostawa rękawic medycznych jednorazowego użytku,18424300-0 (Rękawice jednorazowe),"{'4.3.1)': 43050.0, '6.2.)': 33566.4, '6.3.)': 38178.0, '6.4.)': 33566.4, '8.2.)': 33566.4}",1
52,Services,2023/BZP 00000271,True,Odbiór i zagospodarowanie odpadów komunalnych od właścicieli nieruchomości zamieszkałych na terenie Gminy Kazanów w 2023 roku,"90500000-2 (Usługi związane z odpadami),90511000-2 (Usługi wywozu odpadów),90512000-9 (Usługi transportu odpadów),90513100-7 (Usługi wywozu odpadów pochodzących z gospodarstw domowych),90533000-2 (Usługi gospodarki odpadami)","{'4.3.)': 507000.0, '6.2.)': 609336.0, '6.3.)': 828360.0, '6.4.)': 609336.0, '8.2.)': 609336.0}",1
54,Delivery,2023/BZP 00000277,True,"Zakup paliw do samochodów służbowych tj. benzyny bezołowiowej i oleju napędowego, w system sprzedaży bezgotówkowej dla Starostwa Powiatowego w Żurominie oraz jednost. organizacyjn. powiatu na  2023.",09100000-0 (Paliwa),"{'4.3.)': 288195.12, '6.2.)': 293397.0, '6.3.)': 293397.0, '6.4.)': 293397.0, '8.2.)': 293397.0}",1
55,Services,2023/BZP 00000283,True,Realizacja  na rzecz gminy zadania własnego gminy – utrzymania czystości i porządku w gminie,"90610000-6 (Usługi sprzątania i zamiatania ulic),90620000-9 (Usługi odśnieżania)",{'4.3.)': 427777.78},1
56,Works,2023/BZP 00000287,True,Przebudowa drogi powiatowej nr 1709T Sztombergi –Sulisławice w m. Wola Wiśniowska,"45233140-2 (Roboty drogowe),45233222-1 (Roboty budowlane w zakresie układania chodników i asfaltowania)","{'4.3.)': 45528.0, '8.2.)': 55901.04}",1
57,Services,2023/BZP 00000290,True,ŚWIADCZENIE USŁUG POCZTOWYCH W OBROCIE KRAJOWYM I ZAGRANICZNYM NA POTRZEBY URZĘDU GMINY JABŁONNA,64100000-7 (Usługi pocztowe i kurierskie),"{'6.2.)': 312082.3, '6.3.)': 312082.3, '6.4.)': 312082.3, '8.2.)': 312082.3}",1
58,Delivery,2023/BZP 00000292,True,"Dostawa systemu telemedycznego do prowadzenia monitoringu pacjentów
 i opieki kardiologicznej","48000000-8 (Pakiety oprogramowania i systemy informatyczne),72416000-9 (Dostawcy usług aplikacyjnych),72263000-6 (Usługi wdrażania oprogramowania),32250000-0 (Telefony komórkowe),64212000-5 (Usługi telefonii komórkowej),38423000-6 (Urządzenia do pomiaru ciśnienia),38311000-8 (Wagi elektroniczne i akcesoria),33123200-0 (Urządzenia do elektrokardiografii)","{'4.3.1)': 937050.0, '4.5.5.)': 424850.0, '6.2.)': 494388.0, '6.3.)': 494388.0, '6.4.)': 494388.0, '8.2.)': 494388.0}",2
59,Services,2023/BZP 00000307,True,Wykonanie usług komunalnych związanych z pielęgnacją i konserwacją zieleni miejskiej na terenie miasta Lądka-Zdroju,77310000-6 (Usługi sadzenia roślin oraz utrzymania terenów zielonych),{'4.3.)': 398148.15},1
60,Delivery,2023/BZP 00000309,True,Dostawa produktów leczniczych szczepionka BCGS w systemie zamkniętym,33600000-6 (Produkty farmaceutyczne),"{'6.2.)': 441987.84, '6.3.)': 441987.84, '6.4.)': 441987.84, '8.2.)': 441987.84}",1
61,Services,2023/BZP 00000311,True,"„Świadczenie usług w zakresie kompleksowego przygotowania, dostarczania i podawania posiłków pacjentom Szpitala Powiatowego w Kętrzynie”","15894220-9 (Posiłki szpitalne),55321000-6 (Usługi przygotowywania posiłków),55320000-9 (Usługi podawania posiłków),55520000-1 (Usługi dostarczania posiłków)","{'4.3.)': 774149.5, '6.2.)': 836654.66, '6.3.)': 836654.66, '6.4.)': 836654.66, '8.2.)': 836654.66}",1
64,Works,2023/BZP 00000323,True,"Zagospodarowanie 
i uporządkowanie parku wiejskiego w Luleminie",45112711-2 (Roboty w zakresie kształtowania parków),"{'6.2.)': 413093.14, '6.3.)': 821591.42, '6.4.)': 413093.14, '8.2.)': 413093.14}",1
65,Services,2023/BZP 00000326,True,Odbiór odpadów komunalnych z terenu Gminy Józefów nad Wisłą w 2023 roku,"90511000-2 (Usługi wywozu odpadów),90512000-9 (Usługi transportu odpadów)","{'4.3.)': 434744.71, '6.2.)': 434744.71, '6.3.)': 434744.71, '6.4.)': 434744.71, '8.2.)': 434744.71}",1
66,Delivery,2023/BZP 00000332,True,Zakup i dostawa szaf metalowych na odzież,"39141300-5 (Szafy),39151000-5 (Meble różne)","{'6.2.)': 338742.0, '6.3.)': 1829625.0, '6.4.)': 338742.0, '8.2.)': 338742.0}",1
67,Delivery,2023/BZP 00000335,True,"Zakup i dostawa paliwa: olej napędowy, benzyna bezołowiowa Pb 95 i 98 dla Urzędu Gminy Przywidz","09132100-4 (Benzyna bezołowiowa),09134100-8 (Olej napędowy)","{'6.2.)': 170215.38, '6.3.)': 170215.38, '6.4.)': 170215.38}",1
68,Delivery,2023/BZP 00000339,True,"DOSTARCZENIE I MONTAŻ KRZESEŁ, FOTELI I SOF  DO SZPITALA SPECJALISTYCZNEGO IM. LUDWIKA RYDYGIERA W KRAKOWIE SP. Z O.O.",39100000-3 (Meble),"{'6.2.)': 139617.3, '6.3.)': 179826.0, '6.4.)': 139617.3, '8.2.)': 139617.3}",1
69,Services,2023/BZP 00000342,True,Odbiór i zagospodarowanie odpadów komunalnych z terenu Miasta i Gminy Solec nad Wisłą,"90500000-2 (Usługi związane z odpadami),90533000-2 (Usługi gospodarki odpadami),90511200-4 (Usługi gromadzenia odpadów pochodzących z gospodarstw domowych),90513000-6 (Usługi obróbki i usuwania odpadów, które nie są niebezpieczne),90513100-7 (Usługi wywozu odpadów pochodzących z gospodarstw domowych),90520000-8 (Usługi w zakresie odpadów radioaktywnych, toksycznych, medycznych i niebezpiecznych),90513300-9 (Usługi spalania odpadów),90514000-3 (Usługi recyklingu odpadów),90510000-5 (Usuwanie i obróbka odpadów),90511000-2 (Usługi wywozu odpadów),90512000-9 (Usługi transportu odpadów)","{'4.3.)': 777261.59, '6.2.)': 747038.32, '6.3.)': 879154.69, '6.4.)': 747038.32, '8.2.)': 747038.32}",1
70,Services,2023/BZP 00000344,True,"OCZYSZCZANIE KOSZY NA ŚMIECI NA TERENACH REKREACYJNYCH
(ZAMÓWIENIE PODOBNE – OCZYSZCZANIE KOSZY NA ŚMIECI NA TERENACH REKREACYJNYCH REJON 1 STYCZEŃ –LUTY 2023 R.)","90610000-6 (Usługi sprzątania i zamiatania ulic),90511300-5 (Usługi zbierania śmieci),90511000-2 (Usługi wywozu odpadów)","{'6.2.)': 13373.1, '6.3.)': 13373.1, '6.4.)': 13373.1, '8.2.)': 13373.1}",1
